GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
content-service,com.gradepath.content.content.service,ContentService,49,6,0,0,10,3,6,1,6,1
content-service,com.gradepath.content.recommendation.profile,BehavioralProfileConsumer,74,13,10,0,17,5,6,2,1,2
content-service,com.gradepath.content.recommendation.profile,BehavioralProfileService,23,65,1,1,7,19,3,6,2,6
content-service,com.gradepath.content.recommendation.profile,BehavioralProfileEntity,0,4,0,0,0,2,0,1,0,1
content-service,com.gradepath.content.profile.model,SkillLevel,80,3,0,0,23,1,16,1,16,1
content-service,com.gradepath.content.profile.model,UserProfile.Builder,41,0,0,0,9,0,8,0,8,0
content-service,com.gradepath.content.profile.model,UserProfile,76,6,0,0,21,2,14,1,14,1
content-service,com.gradepath.content.profile.model,User,58,3,0,0,17,1,12,1,12,1
content-service,com.gradepath.content.profile.model,UserPreferences,77,7,0,0,21,3,14,1,14,1
content-service,com.gradepath.content.profile.model,SkillLevel.Builder,38,0,0,0,8,0,8,0,8,0
content-service,com.gradepath.content.profile.model,UserPreferences.Builder,42,0,0,0,9,0,8,0,8,0
content-service,com.gradepath.content.profile.model,User.Builder,28,0,0,0,6,0,6,0,6,0
content-service,com.gradepath.content.recommendation.algorithm,ShortsStrategyService,177,7,50,0,49,2,36,2,8,2
content-service,com.gradepath.content.recommendation.algorithm,BanditStrategyService.ScoredContent,9,0,0,0,1,0,1,0,1,0
content-service,com.gradepath.content.recommendation.algorithm,SessionContextService,252,7,56,0,40,2,39,2,11,2
content-service,com.gradepath.content.recommendation.algorithm,ShortsStrategyService.ContentStrategy,33,0,0,0,6,0,1,0,1,0
content-service,com.gradepath.content.recommendation.algorithm,BanditStrategyService,382,12,28,0,71,3,28,2,12,2
content-service,com.gradepath.content.recommendation.algorithm,BanditStrategyService.BetaParams,9,0,0,0,1,0,1,0,1,0
content-service,com.gradepath.content.profiling.algorithm,InterestScorer.RawJourneyEvent,0,39,0,0,0,1,0,1,0,1
content-service,com.gradepath.content.profiling.algorithm,EngagementClassifier.SessionEndEvent,24,0,0,0,1,0,1,0,1,0
content-service,com.gradepath.content.profiling.algorithm,InterestScorer,16,172,9,12,6,45,9,11,0,8
content-service,com.gradepath.content.profiling.algorithm,EngagementClassifier.SessionMetrics,0,9,0,0,0,1,0,1,0,1
content-service,com.gradepath.content.profiling.algorithm,EngagementClassifier,139,82,22,2,44,22,14,5,2,5
content-service,com.gradepath.content.profiling.algorithm,JourneyAnalyzer,168,72,15,5,42,20,22,5,13,4
content-service,com.gradepath.content.profiling.algorithm,EngagementClassifier.new LinkedHashMap() {...},2,12,1,1,0,2,1,2,0,2
content-service,com.gradepath.content.recommendation.service,ContentScoringService,604,22,64,0,128,8,47,2,14,2
content-service,com.gradepath.content.recommendation.service,RecommendationService.ContentResponse,46,0,0,0,8,0,2,0,2,0
content-service,com.gradepath.content.recommendation.service,RecommendationService.FeedbackType,21,0,0,0,4,0,1,0,1,0
content-service,com.gradepath.content.recommendation.service,RecommendationService.RecommendationResponse,52,0,0,0,10,0,2,0,2,0
content-service,com.gradepath.content.recommendation.service,RecommendationService,522,40,34,0,117,14,35,2,18,2
content-service,com.gradepath.content.recommendation.service,RecommendationService.ScoredContent,9,0,0,0,1,0,1,0,1,0
content-service,com.gradepath.content.recommendation.service,RecommendationService.NoContentAvailableException,6,0,0,0,2,0,1,0,1,0
content-service,com.gradepath.content.recommendation.model,Recommendation,113,3,2,0,33,1,22,1,21,1
content-service,com.gradepath.content.recommendation.model,Recommendation.Builder,54,0,2,0,12,0,11,0,10,0
content-service,com.gradepath.content.analytics.consumer,EventConsumer,238,13,17,0,56,5,15,2,5,2
content-service,com.gradepath.content.profiling,ProfilingService,38,450,14,25,9,111,13,20,0,13
content-service,com.gradepath.content.analytics.dto,ContentEventDto,87,0,0,0,25,0,25,0,25,0
content-service,com.gradepath.content.content.controller,ContentController,53,6,0,0,16,3,5,1,5,1
content-service,com.gradepath.content.recommendation.controller,RecommendationController,30,6,0,0,7,3,3,1,3,1
content-service,com.gradepath.content.recommendation.controller,RecommendationController.FeedbackRequest,9,0,0,0,1,0,1,0,1,0
content-service,com.gradepath.content.analytics.service,EventProcessingService,185,13,7,0,49,5,9,2,4,2
content-service,com.gradepath.content,ContentApplication,5,3,0,0,2,1,1,1,1,1
content-service,com.gradepath.content.profile.service,UserProfileService.UserProfileResponse,70,0,0,0,14,0,2,0,2,0
content-service,com.gradepath.content.profile.service,UserProfileService.UserPreferencesRequest,15,0,0,0,1,0,1,0,1,0
content-service,com.gradepath.content.profile.service,UserProfileService,298,22,4,0,62,8,13,2,11,2
content-service,com.gradepath.content.profile.service,UserProfileService.UserProfileRequest,15,0,0,0,1,0,1,0,1,0
content-service,com.gradepath.content.profile.service,UserProfileService.SkillDto,27,0,0,0,6,0,2,0,2,0
